KIERUNEK;OBSZAR_KOD;OBSZAR;DZIEDZINA_KOD;DZIEDZINA;DYSCYPLINA_KOD;DYSCYPLINA
10967;8;obszar sztuki;20;dziedzina sztuk muzycznych;109;wokalistyka
10968;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
10970;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
10971;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;6;dziedzina nauk o zdrowiu;28;dziedzina nauk o zdrowiu
10974;7;obszar nauk technicznych;18;dziedzina nauk technicznych;88;geodezja i kartografia
10977;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;4;dziedzina nauk medycznych;25;medycyna
10980;8;obszar sztuki;21;dziedzina sztuk plastycznych;114;malarstwo
10981;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;5;filozofia
10982;8;obszar sztuki;20;dziedzina sztuk muzycznych;104;dyrygentura
10984;8;obszar sztuki;20;dziedzina sztuk muzycznych;105;instrumentalistyka
10986;7;obszar nauk technicznych;18;dziedzina nauk technicznych;96;inżynieria środowiska
10987;8;obszar sztuki;21;dziedzina sztuk plastycznych;111;grafika
10989;8;obszar sztuki;21;dziedzina sztuk plastycznych;117;sztuki projektowe
10990;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
10991;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
10992;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
10993;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;999;studia interdyscyplinarne
10994;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;14;nauki o poznaniu i komunikacji społecznej
10995;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
10996;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
10997;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;53;finanse
11002;5;obszar nauk społecznych;14;dziedzina nauk społecznych;59;nauki o bezpieczeństwie
11003;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
11005;0;NA;0;NA;0;NA
11006;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
11007;0;NA;0;NA;0;NA
11009;8;obszar sztuki;20;dziedzina sztuk muzycznych;105;instrumentalistyka
11010;8;obszar sztuki;20;dziedzina sztuk muzycznych;105;instrumentalistyka
11012;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11013;8;obszar sztuki;20;dziedzina sztuk muzycznych;105;instrumentalistyka
11014;8;obszar sztuki;20;dziedzina sztuk muzycznych;105;instrumentalistyka
11015;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;6;dziedzina nauk o zdrowiu;28;dziedzina nauk o zdrowiu
11016;8;obszar sztuki;20;dziedzina sztuk muzycznych;106;kompozycja i teoria muzyki
11017;8;obszar sztuki;20;dziedzina sztuk muzycznych;106;kompozycja i teoria muzyki
11018;8;obszar sztuki;20;dziedzina sztuk muzycznych;106;kompozycja i teoria muzyki
11020;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
11021;8;obszar sztuki;20;dziedzina sztuk muzycznych;106;kompozycja i teoria muzyki
11025;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
11026;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;9;kulturoznawstwo
11027;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
11027;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
11028;5;obszar nauk społecznych;14;dziedzina nauk społecznych;62;nauki o polityce
11029;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
11029;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
11030;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
11031;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
11032;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;9;kulturoznawstwo
11033;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;53;finanse
11034;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
11035;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;53;finanse
11036;5;obszar nauk społecznych;14;dziedzina nauk społecznych;64;nauki o poznaniu i komunikacji społecznej
11037;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
11038;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
11039;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;4;dziedzina nauk medycznych;25;medycyna
11040;8;obszar sztuki;20;dziedzina sztuk muzycznych;109;wokalistyka
11041;8;obszar sztuki;20;dziedzina sztuk muzycznych;109;wokalistyka
11042;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;4;dziedzina nauk medycznych;25;medycyna
11043;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;6;dziedzina nauk o zdrowiu;28;dziedzina nauk o zdrowiu
11046;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
11047;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
11048;5;obszar nauk społecznych;13;dziedzina nauk prawnych;57;prawo
11049;5;obszar nauk społecznych;14;dziedzina nauk społecznych;66;psychologia
11050;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;999;studia interdyscyplinarne
11051;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;999;studia interdyscyplinarne
11052;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;999;studia interdyscyplinarne
11053;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;999;studia interdyscyplinarne
11054;7;obszar nauk technicznych;18;dziedzina nauk technicznych;91;informatyka
11055;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11056;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11057;8;obszar sztuki;21;dziedzina sztuk plastycznych;116;sztuki piękne
11058;8;obszar sztuki;21;dziedzina sztuk plastycznych;116;sztuki piękne
11060;8;obszar sztuki;21;dziedzina sztuk plastycznych;113;konserwacja i restauracja dzieł sztuki
11061;8;obszar sztuki;21;dziedzina sztuk plastycznych;116;sztuki piękne
11063;8;obszar sztuki;21;dziedzina sztuk plastycznych;116;sztuki piękne
11064;8;obszar sztuki;21;dziedzina sztuk plastycznych;116;sztuki piękne
11066;8;obszar sztuki;21;dziedzina sztuk plastycznych;116;sztuki piękne
11067;8;obszar sztuki;21;dziedzina sztuk plastycznych;116;sztuki piękne
11068;0;NA;0;NA;0;NA
11070;8;obszar sztuki;21;dziedzina sztuk plastycznych;116;sztuki piękne
11071;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
11072;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
11073;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;55;towaroznawstwo
11074;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;55;towaroznawstwo
11075;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;4;dziedzina nauk medycznych;25;medycyna
11076;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;4;dziedzina nauk medycznych;25;medycyna
11077;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;4;dziedzina nauk medycznych;25;medycyna
11078;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;4;dziedzina nauk medycznych;25;medycyna
11079;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;53;finanse
11080;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;999;studia interdyscyplinarne
11081;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
11082;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11083;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;999;studia interdyscyplinarne
11084;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;6;dziedzina nauk o zdrowiu;28;dziedzina nauk o zdrowiu
11086;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
11089;8;obszar sztuki;20;dziedzina sztuk muzycznych;106;kompozycja i teoria muzyki
11091;8;obszar sztuki;20;dziedzina sztuk muzycznych;104;dyrygentura
11094;8;obszar sztuki;20;dziedzina sztuk muzycznych;106;kompozycja i teoria muzyki
11096;8;obszar sztuki;20;dziedzina sztuk muzycznych;105;instrumentalistyka
11097;8;obszar sztuki;20;dziedzina sztuk muzycznych;105;instrumentalistyka
11100;8;obszar sztuki;20;dziedzina sztuk muzycznych;105;instrumentalistyka
11101;8;obszar sztuki;20;dziedzina sztuk muzycznych;105;instrumentalistyka
11102;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11103;8;obszar sztuki;20;dziedzina sztuk muzycznych;109;wokalistyka
11105;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11106;7;obszar nauk technicznych;18;dziedzina nauk technicznych;101;transport
11107;0;NA;0;NA;0;NA
11108;7;obszar nauk technicznych;18;dziedzina nauk technicznych;101;transport
11109;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;53;finanse
11110;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;999;studia interdyscyplinarne
11111;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;999;studia interdyscyplinarne
11114;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11116;0;NA;0;NA;0;NA
11117;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
11118;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
11119;3;obszar nauk przyrodniczych;8;dziedzina nauk o Ziemi;38;geografia
11120;3;obszar nauk przyrodniczych;8;dziedzina nauk o Ziemi;38;geografia
11121;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11122;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11123;7;obszar nauk technicznych;18;dziedzina nauk technicznych;84;budownictwo
11124;7;obszar nauk technicznych;18;dziedzina nauk technicznych;91;informatyka
11125;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11126;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;999;studia interdyscyplinarne
11127;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;8;językoznawstwo
11128;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;53;finanse
11129;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;53;finanse
11130;5;obszar nauk społecznych;14;dziedzina nauk społecznych;59;nauki o bezpieczeństwie
11131;5;obszar nauk społecznych;14;dziedzina nauk społecznych;62;nauki o polityce
11132;5;obszar nauk społecznych;13;dziedzina nauk prawnych;57;prawo
11133;7;obszar nauk technicznych;18;dziedzina nauk technicznych;91;informatyka
11134;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11136;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;3;bibliologia i informatologia
11137;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11138;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11140;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
11141;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11143;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;6;dziedzina nauk o zdrowiu;28;dziedzina nauk o zdrowiu
11145;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;6;dziedzina nauk o zdrowiu;28;dziedzina nauk o zdrowiu
11147;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;53;finanse
11149;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
11150;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
11151;5;obszar nauk społecznych;14;dziedzina nauk społecznych;59;nauki o bezpieczeństwie
11152;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11154;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
11156;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11157;0;NA;0;NA;0;NA
11159;7;obszar nauk technicznych;18;dziedzina nauk technicznych;99;technologia chemiczna
11160;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;6;historia
11161;5;obszar nauk społecznych;13;dziedzina nauk prawnych;57;prawo
11162;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;6;dziedzina nauk o zdrowiu;28;dziedzina nauk o zdrowiu
11163;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11165;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;10;literaturoznawstwo
11166;7;obszar nauk technicznych;18;dziedzina nauk technicznych;101;transport
11167;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11168;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;9;kulturoznawstwo
11169;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
11171;7;obszar nauk technicznych;18;dziedzina nauk technicznych;999;studia interdyscyplinarne
11172;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11173;5;obszar nauk społecznych;14;dziedzina nauk społecznych;67;socjologia
11174;5;obszar nauk społecznych;14;dziedzina nauk społecznych;59;nauki o bezpieczeństwie
11175;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;5;dziedzina nauk o kulturze fizycznej;27;dziedzina nauk o kulturze fizycznej
11176;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11177;7;obszar nauk technicznych;18;dziedzina nauk technicznych;101;transport
11179;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11181;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11182;7;obszar nauk technicznych;18;dziedzina nauk technicznych;91;informatyka
11183;0;NA;0;NA;0;NA
11185;5;obszar nauk społecznych;14;dziedzina nauk społecznych;67;socjologia
11186;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
11188;5;obszar nauk społecznych;14;dziedzina nauk społecznych;62;nauki o polityce
11189;5;obszar nauk społecznych;14;dziedzina nauk społecznych;67;socjologia
11190;5;obszar nauk społecznych;14;dziedzina nauk społecznych;66;psychologia
11191;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
11192;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
11193;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
11194;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
11194;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
11195;8;obszar sztuki;21;dziedzina sztuk plastycznych;117;sztuki projektowe
11195;8;obszar sztuki;21;dziedzina sztuk plastycznych;117;sztuki projektowe
11196;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;10;literaturoznawstwo
11196;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;10;literaturoznawstwo
11198;5;obszar nauk społecznych;14;dziedzina nauk społecznych;66;psychologia
11199;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;8;językoznawstwo
11200;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11201;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;8;językoznawstwo
11202;5;obszar nauk społecznych;14;dziedzina nauk społecznych;66;psychologia
11204;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;8;językoznawstwo
11205;5;obszar nauk społecznych;14;dziedzina nauk społecznych;67;socjologia
11206;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;8;językoznawstwo
11207;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11208;7;obszar nauk technicznych;18;dziedzina nauk technicznych;999;studia interdyscyplinarne
11209;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;8;językoznawstwo
11210;0;NA;0;NA;0;NA
11211;5;obszar nauk społecznych;14;dziedzina nauk społecznych;67;socjologia
11212;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11213;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11214;8;obszar sztuki;21;dziedzina sztuk plastycznych;116;sztuki piękne
11215;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11216;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;8;językoznawstwo
11218;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11219;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
11220;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;8;językoznawstwo
11221;8;obszar sztuki;21;dziedzina sztuk plastycznych;111;grafika
11223;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;18;pedagogika
11224;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;5;dziedzina nauk o kulturze fizycznej;27;dziedzina nauk o kulturze fizycznej
11225;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;9;kulturoznawstwo
11226;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;5;dziedzina nauk o kulturze fizycznej;27;dziedzina nauk o kulturze fizycznej
11227;8;obszar sztuki;20;dziedzina sztuk muzycznych;108;rytmika i taniec
11228;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11229;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;8;językoznawstwo
11230;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
11231;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;18;pedagogika
11233;5;obszar nauk społecznych;14;dziedzina nauk społecznych;64;nauki o poznaniu i komunikacji społecznej
11234;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11235;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11236;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11237;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11238;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11239;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
11241;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11244;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11245;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11246;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
11247;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
11249;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;5;dziedzina nauk o kulturze fizycznej;27;dziedzina nauk o kulturze fizycznej
11250;5;obszar nauk społecznych;14;dziedzina nauk społecznych;63;nauki o polityce publicznej
11252;5;obszar nauk społecznych;14;dziedzina nauk społecznych;62;nauki o polityce
11254;7;obszar nauk technicznych;18;dziedzina nauk technicznych;101;transport
11255;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
11258;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
11259;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
11260;0;NA;0;NA;0;NA
11264;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11265;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11266;5;obszar nauk społecznych;14;dziedzina nauk społecznych;66;psychologia
11267;8;obszar sztuki;21;dziedzina sztuk plastycznych;999;studia interdyscyplinarne
11268;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11269;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
11271;7;obszar nauk technicznych;18;dziedzina nauk technicznych;91;informatyka
11272;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11273;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11276;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11278;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11280;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;5;dziedzina nauk o kulturze fizycznej;27;dziedzina nauk o kulturze fizycznej
11285;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11286;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11287;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11289;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11290;8;obszar sztuki;20;dziedzina sztuk muzycznych;104;dyrygentura
11294;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;15;nauki o rodzinie
11295;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11296;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
11298;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11299;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11300;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11301;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11304;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
11305;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;6;dziedzina nauk o zdrowiu;28;dziedzina nauk o zdrowiu
11306;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
11307;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
11308;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;8;językoznawstwo
11309;8;obszar sztuki;22;dziedzina sztuk teatralnych;120;dziedzina sztuk teatralnych
11310;8;obszar sztuki;22;dziedzina sztuk teatralnych;120;dziedzina sztuk teatralnych
11311;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
11312;5;obszar nauk społecznych;14;dziedzina nauk społecznych;62;nauki o polityce
11313;5;obszar nauk społecznych;14;dziedzina nauk społecznych;62;nauki o polityce
11314;8;obszar sztuki;22;dziedzina sztuk teatralnych;120;dziedzina sztuk teatralnych
11315;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
11316;8;obszar sztuki;22;dziedzina sztuk teatralnych;120;dziedzina sztuk teatralnych
11318;8;obszar sztuki;20;dziedzina sztuk muzycznych;105;instrumentalistyka
11319;8;obszar sztuki;20;dziedzina sztuk muzycznych;105;instrumentalistyka
11321;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
11322;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
11324;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;6;dziedzina nauk o zdrowiu;28;dziedzina nauk o zdrowiu
11327;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11328;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
11330;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;4;dziedzina nauk medycznych;999;studia interdyscyplinarne
11331;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;4;dziedzina nauk medycznych;25;medycyna
11332;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
11333;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;999;studia interdyscyplinarne
11334;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
11335;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
11336;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11337;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
11338;7;obszar nauk technicznych;18;dziedzina nauk technicznych;101;transport
11339;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11343;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
11344;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;6;dziedzina nauk o zdrowiu;28;dziedzina nauk o zdrowiu
11345;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;6;dziedzina nauk o zdrowiu;28;dziedzina nauk o zdrowiu
11346;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
11348;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
11349;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
11350;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
11351;7;obszar nauk technicznych;18;dziedzina nauk technicznych;95;inżynieria produkcji
11352;5;obszar nauk społecznych;14;dziedzina nauk społecznych;59;nauki o bezpieczeństwie
11353;5;obszar nauk społecznych;14;dziedzina nauk społecznych;62;nauki o polityce
11354;5;obszar nauk społecznych;14;dziedzina nauk społecznych;60;nauki o mediach
11356;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;6;dziedzina nauk o zdrowiu;28;dziedzina nauk o zdrowiu
11357;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;14;nauki o poznaniu i komunikacji społecznej
11358;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;8;językoznawstwo
11359;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
11360;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
11361;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
11362;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;6;dziedzina nauk o zdrowiu;28;dziedzina nauk o zdrowiu
11363;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
